authorName,hIndex
Paul Helman,1
Alan Bundy,1
Thomas J. Weigert,1
C. L. Liu 0001,1
Steven W. K. Tjiang,1
Paul Hudak,1
Barbara J. Grosz,1
Thomas K. Landauer,1
George W. Furnas,1
Jonathan Slocum,1
W. D. Maurer,1
Clarence A. Ellis,1
Roger G. Johnson,1
Roy Levin,1
Raj Reddy,1
Jay Earley,1
Loren G. Terveen,1
Ben Wegbreit,1
Georges Gardarin,1
A. Wong,1
Henry Lieberman,1
Richard Furuta,1
Barbara T. Blaustein,1
James H. Morris Jr.,1
Lee D. Erman,1
William D. Strecker,1
Robert J. T. Morris,1
George I. Davida,1
Josephine M. Cheng,1
Kenneth M. Kahn,1
Dominique Potier,1
Derek L. Nazareth,1
Christopher J. Matheus,1
Steven A. Demurjian,1
Joan Peckham,1
Lil Mohan,1
Elena Baralis,1
Deborah L. McGuinness,1
Bernhard Nebel,1
Ted E. Senator,1
Klaus Elhardt,1
Nigel Derrett,1
Viswanath Poosala,1
Willi Gotthard,1
Charles Lamb,1
Daniel Weinreb,1
Jyh-Sheng Ke,1
James C. Browne,1
Abdel Aziz Farrag,1
Stephen N. Zilles,1
Thomas Kirk,1
Stan J. Thomas,1
Toshimi Minoura,1
Philippe Flajolet,1
Vaughan R. Pratt,1
Gerald J. Sussman,1
Guy L. Steele Jr.,1
Earl D. Sacerdoti,1
Benjamin Kuipers,1
Hector J. Levesque,1
Geoffrey E. Hinton,1
Tova Milo,1
Michele Angelaccio,1
Claude Puech,1
Giampio Bracchi,1
Erhard Rahm,1
Edward Barkmeyer,1
Antonio Albano,1
Renzo Orsini,1
Allen Klinger,1
Arif Ghafoor,1
Anthony B. O'Hare,1
Chih-Chen Lin,1
Brewster Kahle,1
Mohammad A. Ketabchi,1
Katia Obraczka,1
Tomás Lang,1
Christopher Wood,1
Prashant Palvia,1
Stephen W. Sherman,1
Richard S. Brice,1
Howard M. Taylor,1
Steven P. Reiss,1
Colin Bell,1
Jason Tsong-Li Wang,1
Jacob Ziv,1
Charles Forgy,1
James J. Kistler,1
Roger L. Haskin,1
Andrew Birrell,1
David A. Nichols,1
Malcolm C. Taylor,1
R. R. Amin,1
Thomas R. Gruber,1
Joel E. Richardson,1
Paul M. Aoki,1
Omran A. Bukhres,1
Craig Stanfill,1
Howard L. Morgan,1
Robert Scheifler,1
Stewart A. Schuster,1
C. C. Chang,1
Ken Thompson,1
John W. Backus,1
Robert S. Fabry,1
George P. Copeland,1
Brian C. Twichell,1
Dave D. Straube,1
Yungho Leu,1
Keh-Chang Guh,1
Larry Carter,1
M. Seetha Lakshmi,1
David Mutchler,1
Vance E. Waddle,1
Douglas H. Fisher,1
Fernando C. N. Pereira,1
Ramesh S. Patil,1
Minoru Ito,1
Nicholas Pippenger,1
Ion Tim Ieong,1
Nick Kline,1
Wei-Min Shen,1
Carel S. Scholten,1
Peter Z. Revesz,1
Donovan A. Schneider,1
Victor M. Markowitz,1
Jeff Anton,1
Richard E. Ladner,1
Victor Matos,1
Ahmed Emam,1
John K. Ousterhout,1
Jayanta Banerjee,1
Peter G. Selfridge,1
Richard I. Baum,1
Rajshekhar Sunderraman,1
Ken-Chih Liu,1
Timothy Arndt,1
P. Venkat Rangan,1
Michael Hirohama,1
Danette Chimenti,1
Eric Lund,1
F. Kenneth Zadeck,1
Jeanne Ferrante,1
Marshall C. Pease,1
Robert E. Shostak,1
Jay Banerjee,1
Scott E. Hudson,1
Paolo Paolini,1
Edward Babb,1
Daniel Troy,1
Michel A. Melkanoff,1
Chin-Wan Chung,1
Michelle Y. Kim,1
Rajiv Jauhari,1
Robert S. Boyer,1
Roger Nasr,1
Spyros Potamianos,1
William G. Tuel Jr.,1
Peter A. Franaszek,1
David P. Reed,1
Hyunchul Kang,1
Y. Edmund Lien,1
Rafi Ahmed,1
Ming-Chien Shan,1
Philip L. Lehman,1
Ron Obermarck,1
T. E. Wise,1
Surajit Chaudhuri,1
Thomas J. Laffey,1
Jim Hafner,1
Mayer D. Schwartz,1
Dah-Ming W. Chiu,1
Daniel R. Ries,1
Nandlal L. Sarda,1
Hong-Tai Chou,1
O. Deux,1
Stephen Fox,1
Nat Ballou,1
Christopher L. Reeve,1
David S. Reiner,0
Peter Lang,0
Jun Yang 0001,0
Edward L. Wimmers,0
J. A. Andrews,0
Hussein Ibrahim,0
M. Dispinzeri,0
Paolo Naggar,0
A. Mecchia,0
C. Del Gracco,0
Clara Pizzuti,0
Martin Sköld,0
Gang Zhou,0
Jean-Claude Franchitti,0
Jürgen Zimmermann 0003,0
Thomas Kudrass,0
Holger Branding,0
Sunita Sarawagi,0
Dan Gerson,0
Neal Feinberg,0
David Kramlich,0
Gretchen Brown,0
Mark Friedell,0
John Lehman,0
Asterio K. Tanaka,0
Spiro Michaylov,0
Roland H. C. Yap,0
Joxan Jaffar,0
Susan L. Graham,0
Walter L. Ruzzo,0
Michael A. Harrison,0
Oliver Rüthing,0
Jens Knoop,0
Bernhard Steffen,0
David R. Jefferson,0
Mordechai Ben-Ari,0
Diane J. Litman,0
Jean-François Groff,0
Bernd Pollermann,0
Marco Carrer,0
Gulrukh Ahanger,0
Leonardo Ligresti,0
Jean Ferrié,0
Michèle Cart,0
Jean-François Pons,0
Claude Boksenbaum,0
Anthony P. Lucido,0
David J. Rypka,0
Shigeru Masuyama,0
Fatma Mili,0
Hafedh Mili,0
Richard J. LeBlanc,0
Mukul K. Sinha,0
Jürg Rebsamen,0
Carl August Zehnder,0
Andreas Dudler,0
Richard P. Brägger,0
M'hamed Bouziane,0
Lester Yee,0
Laurie Rattner,0
Jean-Pierre Banâtre,0
Donald A. Varvel,0
Man-Keung Siu,0
C. H. Chen,0
Jay F. Nunamaker Jr.,0
Aloysius K. Mok,0
Rwo-Hsi Wang,0
Lionel M. Ni,0
Rajiv Tewari,0
Thomas Anderson 0001,0
Peter A. Lee,0
Marc J. Rochkind,0
Richard Koo,0
Boris Kogan,0
Ken Michielsen,0
Edward A. Stohr,0
Norman H. White,0
Jon A. Turner,0
Yannis Vassiliou,0
Gary M. Giddings,0
Robin Williams,0
Xian-He Sun,0
K. Narayanaswamy,0
Guy T. Almes,0
Jerre D. Noe,0
Jason S. J. Chen,0
Victor O. K. Li,0
Johanna M. Chow,0
David A. Edwards,0
Stephen Kiser,0
Gerard Rudisin,0
Charles S. Kline,0
Evelyn Walton,0
Allen Stoughton,0
Arbee L. P. Chen,0
Yi-Bing Lin,0
Peter A. Ng,0
F. C. Tung,0
